,VEHQ,BEDROOMQ,STATE,SAVACCTX,EARNCOMP,NEWID,AGE_REF,SWIMPOOL,HLFBATHQ,FINDRETX,INCLASS,SEX2,OCCUCOD1,OCCUCOD2,NO_EARNR,SECESTX,RACE2,REF_RACE,VEHQL,FAM_SIZE,SEX_REF,PERSLT18,POVLEVCY,BATHRMQ,AGE2,TOTEXPCQ,PERSOT64,INC_RANK,NUM_AUTO,TOTEXPPQ,REGION,Entertainment,Misc,Housing,housing,Neccessities,Type_home,Income,Transportation,Medical
1612,1,3,10.0,.,8,2546554,55,,1,0,1,,,,0,.,,1,0,1,1,0,12424,1,.,0.0,0,0.0086,1,4324.7,3.0,500.0,0.0,1776.0,5.0,1205.0,1,878.0,1169.0,959.7
1613,3,4,17.0,.,1,2546564,37,,1,0,9,2.0,3.0,,1,.,4.0,4,0,4,1,2,24219,2,33,0.0,0,.,1,26734.95,2.0,1095.0,1116.0,9671.0,5.0,5206.0,1,1996.95,12998.0,1971.0
1614,1,3,6.0,3000,1,2546575,22,1.0,1,0,5,,3.0,,1,9000,,1,0,1,1,0,12424,2,.,0.0,0,0.2497,1,11037.0001,4.0,288.0,120.0,5671.0,0.0,2550.0,4,45631.250100000005,7866.0,278.0
1615,0,2,42.0,.,4,2546584,31,,0,0,8,,13.0,,2,.,,1,0,2,1,0,15989,1,.,0.0,0,0.546,0,5719.9001,1.0,487.0,287.0,2849.0,6.0,2028.0,2,103031.9001,846.0,129.0
1616,2,3,,.,2,2546594,58,,0,0,9,1.0,3.0,10.0,2,.,1.0,1,0,2,2,0,15989,3,62,0.0,0,.,0,9625.9501,2.0,600.0,90.0,4073.0,5.0,2080.0,1,5614.9501,6103.0,1020.0
1617,1,2,18.0,.,2,2546604,62,,0,0,9,2.0,10.0,10.0,2,.,1.0,1,0,2,1,0,15989,1,62,0.0,0,0.7508,0,9786.0001,2.0,438.0,713.0,3185.5,5.0,3505.0,1,148202.5001,2445.0,1498.0
1618,3,2,53.0,.,5,2546634,34,,0,0,5,1.0,,16.0,1,.,1.0,1,0,5,2,3,28496,1,39,0.0,0,0.3167,1,7627.25,4.0,564.0,300.0,2718.75,0.0,4364.0,9,56535.5,3003.0,0.0
1619,4,3,55.0,.,8,2546654,72,,1,0,5,,,,0,.,,1,0,1,2,0,11452,1,.,0.0,1,0.072,1,10446.7,2.0,402.0,233.0,5418.0,5.0,2948.0,1,8939.0,1857.0,1657.7
1620,2,3,,.,4,2546674,34,,0,0,8,,13.0,,2,.,,1,0,3,1,1,19219,1,.,0.0,0,0.6691,2,10397.3998,2.0,300.0,360.0,3593.0,5.0,4380.0,1,139417.3998,3628.0,40.0
1621,1,3,47.0,.,1,2546684,40,,1,0,5,,3.0,,1,.,,1,0,1,1,0,12424,2,.,0.0,0,0.3427,1,6089.1501,3.0,1303.0,65.0,2561.0,5.0,2560.0,1,54431.1501,1235.0,0.0
1622,1,2,6.0,.,8,2546714,62,,0,0,9,,,,0,.,,1,0,1,1,0,12424,1,.,0.0,0,0.8191,1,17032.0,4.0,606.0,90.0,2615.0,0.0,3652.0,1,100030.0,2174.0,8241.0
1623,1,4,,.,2,2546724,42,,0,0,8,1.0,1.0,5.0,2,.,1.0,1,0,3,2,0,18680,2,53,0.0,0,.,0,8475.9,3.0,682.0,575.0,3288.0,11.0,1690.0,1,1146.9,3774.0,100.0
1624,5,6,42.0,.,2,2546734,62,,1,0,9,1.0,1.0,10.0,2,.,1.0,1,0,3,2,0,18680,2,64,0.0,0,.,3,27860.3001,1.0,775.0,72.0,4332.0,5.0,5495.0,1,2648.3001,26772.0,710.0
1625,4,3,48.0,.,2,2546774,39,,0,0,9,1.0,10.0,11.0,2,.,1.0,1,0,6,2,2,33595,2,47,0.0,2,0.7463,1,52863.75,3.0,2016.0,706.0,3265.0,11.0,4685.0,1,169202.75,48480.0,1139.0
1626,4,4,48.0,.,3,2546784,47,,0,2600,9,1.0,2.0,15.0,3,.,1.0,1,0,3,2,0,18680,4,50,0.0,0,0.7501,2,13629.2499,3.0,607.0,232.0,4695.0,5.0,2782.0,1,171400.2499,6488.0,728.0
1627,5,4,20.0,.,3,2546794,52,,0,0,9,2.0,2.0,4.0,3,.,1.0,1,0,4,1,1,25030,3,47,0.0,0,0.9511,2,14422.5,2.0,504.0,600.0,4787.0,5.0,3535.0,2,298461.5,10767.0,90.0
1628,1,3,26.0,.,1,2546814,62,,1,0,9,1.0,2.0,,1,.,1.0,1,1,2,2,0,15989,2,62,0.0,0,.,0,12061.4501,2.0,658.0,378.0,2289.0,5.0,3820.0,1,1268.4501,5570.0,2650.0
1629,1,3,,.,4,2546844,35,,0,0,4,,13.0,,2,.,,1,0,2,1,0,15989,2,.,0.0,0,0.1754,0,9776.5001,3.0,5.0,300.0,3000.0,5.0,3074.0,1,33315.500100000005,4740.0,152.0
1630,1,3,24.0,.,1,2546874,40,,1,0,8,,1.0,,1,.,,1,0,1,2,0,12424,2,.,0.0,0,.,0,12829.5001,3.0,481.0,290.0,6862.0,5.0,3171.0,1,1284.5001,859.0,1479.0
1631,0,5,13.0,.,4,2546884,42,,1,0,9,,4.0,,4,.,,2,0,6,2,1,34302,2,.,0.0,0,0.7326,0,13321.5,3.0,341.0,968.0,3327.0,5.0,5900.0,1,149626.5,5881.0,2818.0
1632,4,5,6.0,.,2,2546904,58,,1,0,9,1.0,9.0,3.0,2,.,1.0,1,0,5,2,1,30135,3,63,0.0,0,0.9516,3,30493.25,4.0,532.0,600.0,10974.0,5.0,9947.0,1,304016.25,4184.0,300.0
1633,3,3,,.,2,2546994,44,,0,0,9,1.0,10.0,1.0,2,.,1.0,1,0,2,2,0,15989,3,43,0.0,0,0.7684,2,21259.5001,2.0,2201.0,516.0,10122.25,5.0,5526.0,1,178753.2501,4182.0,400.0
1634,1,3,41.0,.,7,2547024,73,,0,0,6,2.0,,,1,.,1.0,1,0,3,1,0,18680,2,58,0.0,1,0.3345,0,7312.8499,4.0,272.0,171.0,1963.0,0.0,2630.0,9,36702.149900000004,1056.0,2801.7
1635,2,3,17.0,.,1,2547094,65,,1,0,2,,6.0,,1,.,,1,0,1,1,0,11452,1,.,0.0,1,0.0548,1,11333.9501,2.0,1596.0,216.0,2884.0,5.0,3040.0,1,8135.2501,5498.0,1198.7
1636,1,2,29.0,.,1,2547114,29,,1,0,8,,3.0,,1,.,,1,0,2,2,1,16460,1,.,0.0,0,0.5865,1,8426.25,2.0,268.0,420.0,2411.0,5.0,2725.0,4,105808.75,1338.0,340.0
1637,1,3,26.0,.,1,2547124,29,,0,0,6,2.0,10.0,,1,.,1.0,1,0,5,1,3,28496,1,30,0.0,0,0.3911,0,7393.25,2.0,811.0,300.0,2646.0,5.0,3610.0,1,68650.25,2718.0,65.0
1638,2,5,17.0,.,8,2547134,54,,1,0,2,1.0,,,0,.,1.0,1,0,2,2,0,15989,2,54,0.0,0,0.0418,1,9122.0,2.0,300.0,702.0,3955.0,5.0,5204.0,1,5010.0,3965.0,16.0
1639,3,4,4.0,.,2,2547144,42,,0,0,9,2.0,3.0,10.0,2,.,1.0,1,0,4,1,2,24219,2,42,0.0,0,0.7861,2,23904.5,4.0,6321.0,720.0,5734.0,5.0,9334.0,1,185769.5,9437.0,1955.0
1640,1,2,13.0,.,1,2547154,70,,0,0,4,,3.0,,1,.,,1,0,1,1,0,11452,1,.,0.0,1,.,1,1402.2501,3.0,0.0,0.0,285.0,5.0,702.0,1,289.5501,270.0,386.7
1641,2,3,45.0,.,1,2547164,34,,0,300,8,2.0,3.0,,1,.,1.0,1,0,7,1,5,35740,2,34,0.0,0,0.5545,1,9904.0,3.0,1184.0,360.0,3773.0,5.0,3293.0,1,84787.0,3905.0,445.0
1642,1,2,17.0,.,8,2547214,87,,0,0,6,,,,0,.,,1,0,1,2,0,11452,1,.,0.0,1,0.4198,1,11463.7,2.0,60.0,90.0,10328.0,5.0,234.0,8,36744.0,295.0,593.7
1643,2,3,45.0,.,1,2547254,41,,0,0,8,2.0,3.0,,1,.,1.0,1,0,7,1,5,35740,2,39,0.0,0,0.568,1,9095.4999,3.0,57.0,75.0,2139.0,6.0,3185.0,1,111058.4999,2125.0,1006.0
1644,1,3,48.0,.,8,2547274,74,,1,0,4,2.0,,,0,.,1.0,1,0,2,1,0,14430,1,67,0.0,2,0.166,1,3063.25,3.0,150.0,179.0,1265.25,5.0,1690.0,1,15838.0,1036.0,0.0
1645,1,1,26.0,.,1,2547284,25,1.0,0,0,5,,1.0,,1,.,,1,0,1,2,0,12424,1,.,0.0,0,0.2803,1,12293.2501,2.0,615.0,225.0,3024.0,5.0,3780.0,8,50478.250100000005,6180.0,96.0
1646,1,2,,.,8,2547304,27,,0,0,2,,,,0,.,,1,0,2,2,0,15989,1,.,0.0,0,0.0653,1,1724.0,2.0,220.0,0.0,600.0,0.0,1570.0,8,8200.0,220.0,0.0
1647,1,4,45.0,.,8,2547314,80,,1,0,3,,,,0,.,,1,0,1,2,0,11452,2,.,0.0,1,0.1351,0,3547.7,3.0,240.0,230.0,947.0,5.0,390.0,1,13775.0,498.0,725.7
1648,2,3,17.0,.,2,2547324,67,,0,0,3,2.0,14.0,3.0,2,.,1.0,1,0,2,1,0,14430,2,69,0.0,2,0.1179,0,14500.4,2.0,283.0,314.0,2811.0,5.0,3662.0,1,44927.0,8016.0,2794.4
1649,1,3,12.0,.,1,2547334,53,,0,0,7,,1.0,,1,.,,1,0,1,2,0,12424,2,.,0.0,0,0.4968,1,8521.7501,3.0,225.0,75.0,3102.0,5.0,1820.0,1,90860.7501,1560.0,430.0
1650,3,4,13.0,.,4,2547354,62,1.0,0,0,7,,6.0,,2,.,,1,0,2,1,0,15989,2,.,0.0,0,0.471,1,9348.4999,3.0,1269.0,120.0,2147.5,5.0,1343.0,1,65277.999899999995,8797.0,40.0
1651,2,2,41.0,.,4,2547364,25,,0,0,5,,12.0,,2,.,,1,0,2,1,0,15989,1,.,0.0,0,0.0352,2,5529.5001,4.0,240.0,120.0,2855.0,0.0,2630.0,8,8468.500100000001,1475.0,0.0
1652,2,3,51.0,.,1,2547384,59,,2,6000,9,,3.0,,1,.,,1,0,1,2,0,12424,2,.,0.0,0,0.9244,0,35711.4634,3.0,441.0,400.0,7408.0,5.0,4518.0,2,275796.2134,7837.0,640.0
1653,3,2,1.0,.,1,2547394,37,,0,0,5,,17.0,,1,.,,1,0,2,1,1,16460,1,.,0.0,0,0.2676,1,6750.0,3.0,600.0,243.0,754.0,6.0,3002.0,9,48459.0,3846.0,1122.0
1654,2,4,,.,2,2547404,57,,0,0,5,1.0,2.0,4.0,2,.,1.0,1,0,3,2,1,19219,2,58,0.0,0,0.2551,0,6550.0,3.0,80.0,0.0,1502.0,0.0,3259.0,1,47604.0,4305.0,1270.0
1655,3,3,36.0,.,2,2547424,55,,0,4000,9,2.0,1.0,4.0,2,.,1.0,1,0,2,1,0,15989,2,55,0.0,0,0.8469,0,23258.7499,1.0,1030.0,132.0,6299.0,5.0,12670.0,1,223103.7499,6270.0,1107.0
1656,0,.,51.0,.,7,2547444,57,,.,0,1,,,,1,.,,2,0,3,2,2,19243,.,.,0.0,0,.,0,4754.35,3.0,312.0,780.0,2743.0,5.0,2988.0,1,319.35,0.0,0.0
1657,2,3,45.0,.,7,2547454,65,,1,0,4,,,,1,.,,2,0,3,2,1,19219,1,.,0.0,1,0.0984,1,3609.6501,3.0,0.0,459.0,1105.25,5.0,3380.0,1,11323.7001,1305.0,299.7
1658,1,4,6.0,.,3,2547464,46,1.0,0,0,9,1.0,1.0,15.0,4,.,6.0,6,0,4,2,0,24631,2,44,0.0,0,.,1,27937.7501,4.0,585.0,525.0,6856.0,5.0,9100.0,1,3161.7501,6300.0,3000.0
1659,4,3,,.,2,2547474,32,1.0,0,0,9,1.0,4.0,14.0,2,.,1.0,1,0,4,2,2,24219,2,35,0.0,0,0.7761,1,12991.5,3.0,741.0,212.0,1681.0,5.0,6090.0,9,182733.0,8583.0,2220.0
1660,0,4,42.0,.,7,2547484,87,,1,0,9,,,,2,.,,1,0,3,1,0,18680,2,.,0.0,1,0.1305,0,12854.0999,1.0,360.0,480.0,5420.0,0.0,5340.0,1,14468.3999,960.0,2099.7
